PA_CIDPRI,Goiás,Mato Grosso do Sul,Mato Grosso,Distrito Federal,Total Frequency
S820,331.0,53.0,99.0,29.0,512.0
G544,45.0,177.0,285.0,3.0,510.0
M245,23.0,268.0,168.0,47.0,506.0
F320,156.0,162.0,181.0,4.0,503.0
I21,12.0,0.0,12.0,478.0,502.0
S068,247.0,81.0,110.0,63.0,501.0
C80,116.0,12.0,312.0,57.0,497.0
Q189,0.0,496.0,0.0,0.0,496.0
F206,330.0,20.0,59.0,81.0,490.0
H269,270.0,130.0,7.0,81.0,488.0
G409,243.0,61.0,21.0,162.0,487.0
D693,205.0,26.0,127.0,128.0,486.0
D688,171.0,203.0,90.0,18.0,482.0
U099,4.0,50.0,4.0,413.0,471.0
K512,163.0,65.0,7.0,233.0,468.0
H540,44.0,418.0,0.0,6.0,468.0
J019,101.0,221.0,28.0,117.0,467.0
M541,101.0,43.0,214.0,109.0,467.0
S900,324.0,61.0,58.0,20.0,463.0
F321,138.0,9.0,162.0,151.0,460.0
K359,205.0,84.0,148.0,21.0,458.0
S829,155.0,61.0,215.0,25.0,456.0
J030,230.0,61.0,43.0,119.0,453.0
N939,325.0,53.0,49.0,25.0,452.0
Z712,151.0,186.0,88.0,24.0,449.0
E892,197.0,52.0,54.0,146.0,449.0
G821,78.0,21.0,49.0,297.0,445.0
N39,348.0,8.0,83.0,5.0,444.0
W199,421.0,9.0,12.0,0.0,442.0
G710,143.0,118.0,64.0,112.0,437.0
C910,140.0,63.0,86.0,147.0,436.0
M773,136.0,83.0,186.0,30.0,435.0
M233,65.0,212.0,74.0,84.0,435.0
Z478,364.0,18.0,18.0,32.0,432.0
M053,104.0,62.0,228.0,37.0,431.0
K754,118.0,26.0,29.0,257.0,430.0
Z136,358.0,39.0,14.0,16.0,427.0
E100,219.0,121.0,14.0,72.0,426.0
Q371,91.0,310.0,0.0,24.0,425.0
R070,121.0,205.0,62.0,35.0,423.0
J998,210.0,169.0,38.0,6.0,423.0
H542,321.0,98.0,2.0,1.0,422.0
G820,22.0,54.0,61.0,285.0,422.0
G430,232.0,70.0,30.0,89.0,421.0
D464,85.0,16.0,286.0,33.0,420.0
G801,138.0,112.0,48.0,120.0,418.0
H905,211.0,1.0,205.0,0.0,417.0
B188,1.0,0.0,416.0,0.0,417.0
M080,112.0,55.0,54.0,194.0,415.0
A073,414.0,0.0,0.0,0.0,414.0
R739,242.0,11.0,48.0,111.0,412.0
F251,264.0,45.0,40.0,62.0,411.0
M969,44.0,45.0,316.0,4.0,409.0
M235,62.0,79.0,257.0,9.0,407.0
H408,223.0,126.0,41.0,17.0,407.0
H932,62.0,98.0,93.0,153.0,406.0
R42,161.0,127.0,102.0,16.0,406.0
S422,334.0,43.0,22.0,6.0,405.0
I272,127.0,20.0,16.0,239.0,402.0
F252,265.0,67.0,16.0,48.0,396.0
M259,175.0,134.0,64.0,20.0,393.0
C349,215.0,46.0,75.0,56.0,392.0
O269,316.0,1.0,35.0,38.0,390.0
I501,250.0,41.0,14.0,82.0,387.0
H258,21.0,0.0,347.0,18.0,386.0
M722,66.0,64.0,111.0,142.0,383.0
C56,207.0,57.0,52.0,67.0,383.0
H109,25.0,326.0,6.0,25.0,382.0
S929,110.0,109.0,151.0,9.0,379.0
J110,217.0,108.0,19.0,33.0,377.0
B088,2.0,8.0,0.0,364.0,374.0
F250,164.0,49.0,50.0,109.0,372.0
D571,43.0,33.0,85.0,209.0,370.0
R55,227.0,53.0,40.0,49.0,369.0
J03,35.0,0.0,333.0,0.0,368.0
O149,360.0,2.0,3.0,3.0,368.0
M638,14.0,10.0,339.0,4.0,367.0
A083,342.0,7.0,9.0,8.0,366.0
S060,159.0,129.0,31.0,47.0,366.0
C449,114.0,150.0,15.0,85.0,364.0
K743,158.0,38.0,37.0,128.0,361.0
E232,140.0,63.0,38.0,118.0,359.0
I50,272.0,0.0,85.0,0.0,357.0
I270,58.0,32.0,93.0,174.0,357.0
N189,260.0,37.0,10.0,50.0,357.0
K922,226.0,34.0,23.0,74.0,357.0
M771,90.0,75.0,146.0,45.0,356.0
E220,93.0,71.0,24.0,167.0,355.0
G249,324.0,8.0,4.0,17.0,353.0
E785,243.0,14.0,16.0,80.0,353.0
S923,230.0,82.0,28.0,10.0,350.0
K029,221.0,5.0,0.0,124.0,350.0
M658,124.0,85.0,104.0,35.0,348.0
I249,315.0,2.0,19.0,12.0,348.0
B182,243.0,45.0,36.0,22.0,346.0
H571,34.0,23.0,26.0,263.0,346.0
E660,47.0,253.0,25.0,19.0,344.0
K810,247.0,19.0,28.0,45.0,339.0
D50,279.0,1.0,58.0,0.0,338.0
S400,239.0,32.0,33.0,33.0,337.0
